"Symbol","Company name","Listing date","Sector","Market Cap"
"RPM","RPM AUTOMOTIVE GROUP LIMITED","1983-11-10","Automobiles & Components",48555318
"RRL","REGIS RESOURCES LIMITED","1987-02-19","Basic Industries",1998155414
"RSG","RESOLUTE MINING LIMITED","1979-01-11","Basic Industries",673374551
"RSH","RESPIRI LIMITED","2000-07-14","Health Care",65055671
"RTE","RETECH TECHNOLOGY CO., LIMITED","2017-06-22","Consumer Services",69873790
"RTG","RTG MINING INC.","2014-06-05","Basic Industries",122449862
"RTR","RUMBLE RESOURCES LIMITED","2011-07-01","Basic Industries",330559069
"RUL","RPMGLOBAL HOLDINGS LIMITED","2008-05-27","Technology",349835259
"RVR","RED RIVER RESOURCES LIMITED","2005-07-15","Basic Industries",111321489
"RVS","REVASUM INC.","2018-12-04","Semiconductors & Semiconductor Equipment",31687758
"RWC","RELIANCE WORLDWIDE CORPORATION LIMITED","2016-04-29","Capital Goods",4076888987
"RWD","REWARD MINERALS LTD","1991-12-12","Basic Industries",24306586
"RXH","REWARDLE HOLDINGS LIMITED","2014-10-07","Consumer Services",7894822
"RXL","ROX RESOURCES LIMITED","2004-04-27","Basic Industries",75651654
"RXM","REX MINERALS LIMITED","2007-09-20","Basic Industries",164705159
"RYD","RYDER CAPITAL LIMITED","2015-09-28","Miscellaneous",120193913
"RZI","RAIZ INVEST LIMITED","2018-06-21","Finance",108598556
"S2R","S2 RESOURCES LTD","2015-10-19","Basic Industries",47233677
"S32","SOUTH32 LIMITED","2015-05-18","Basic Industries",14062162296
"S66","STAR COMBO PHARMA LIMITED","2018-05-16","Household & Personal Products",34351680
"SAN","SAGALIO ENERGY LIMITED","2011-12-15","Energy",4502523
"SAS","SKY AND SPACE COMPANY LTD","2006-05-22","Telecommunication Services","N/A"
"SAU","SOUTHERN GOLD LIMITED","2005-04-21","Basic Industries",15786328
"SBM","ST BARBARA LIMITED","1969-05-15","Basic Industries",1348785318
"SBR","SABRE RESOURCES LIMITED","1987-12-17","Basic Industries",10098382
"SBW","SHEKEL BRAINWEIGH LTD","2018-11-20","Technology",17615125
"SCG","SCENTRE GROUP","2014-06-25","Real Estate",14117829082
"SCI","SILVER CITY MINERALS LIMITED","2011-07-06","Basic Industries",19375234
"SCL","SCHROLE GROUP LTD","2013-11-11","Technology",19278835
"SCN","SCORPION MINERALS LIMITED","2007-03-07","Basic Industries",14701072
"SCP","SHOPPING CENTRES AUSTRALASIA PROPERTY GROUP","2012-11-26","Real Estate",2689253296
"SCT","SCOUT SECURITY LIMITED","2017-08-25","Consumer Services",11653814
"SCU","STEMCELL UNITED LIMITED","2000-06-13","Health Care",18779772
"SDF","STEADFAST GROUP LIMITED","2013-08-02","Insurance",3503459885
"SDG","SUNLAND GROUP LIMITED","1995-02-28","Real Estate",334059217
"SDI","SDI LIMITED","1985-11-07","Health Care",106978977
"SDV","SCIDEV LTD","2002-05-02","Basic Industries",126696194
"SE1","SENSERA LIMITED","2016-12-23","Semiconductors & Semiconductor Equipment",20054979
"SEC","SPHERIA EMERGING COMPANIES LIMITED","2017-12-05","Miscellaneous",132932899
"SEG","SPORTS ENTERTAINMENT GROUP LIMITED","2000-11-28","Consumer Services",71641327
"SEK","SEEK LIMITED","2005-04-19","Consumer Services",10805105006
"SEN","SENETAS CORPORATION LIMITED","1984-06-21","Technology",49778862
"SEQ","SEQUOIA FINANCIAL GROUP LTD","2000-09-19","Finance",65653937
"SER","STRATEGIC ENERGY RESOURCES LIMITED","1991-08-15","Basic Industries",11695188
"SES","SECOS GROUP LTD","1996-11-21","Basic Industries",131295956
"SFC","SCHAFFER CORPORATION LIMITED","1974-01-01","Automobiles & Components",292277455
"SFG","SEAFARMS GROUP LIMITED","1990-06-14","Food, Beverage & Tobacco",220450366
"SFM","SANTA FE MINERALS LTD","2011-10-07","Basic Industries",6844966
"SFR","SANDFIRE RESOURCES LIMITED","2004-03-04","Basic Industries",1265584464
"SFX","SHEFFIELD RESOURCES LIMITED","2010-12-15","Basic Industries",126309988
"SGC","SACGASCO LIMITED","2005-10-11","Energy",14802293
"SGF","SG FLEET GROUP LIMITED","2014-03-04","Consumer Services",927876674
"SGH","SLATER & GORDON LIMITED","2007-05-21","Consumer Services",98060963
"SGI","STEALTH GLOBAL HOLDINGS LTD","2018-10-02","Capital Goods",8574200
"SGLLV","RICEGROWERS LIMITED","2019-04-08","Food, Beverage & Tobacco",413370286
"SGM","SIMS LIMITED","2005-10-21","Basic Industries",3138679245
"SGP","STOCKLAND","1987-02-19","Real Estate",11148091662
"SGQ","ST GEORGE MINING LIMITED","2010-11-16","Basic Industries",47724466
"SGR","THE STAR ENTERTAINMENT GROUP LIMITED","2011-06-06","Consumer Services",3846137408
"SHE","STONEHORSE ENERGY LIMITED","2000-07-24","Energy",15734995
"SHG","SINGULAR HEALTH GROUP LTD","2021-02-12","Health Care",38549575
"SHH","SHREE MINERALS LIMITED","2010-02-18","Basic Industries",17011790
"SHJ","SHINE JUSTICE LTD","2013-05-15","Consumer Services",170662885
"SHL","SONIC HEALTHCARE LIMITED","1987-04-30","Health Care",16626951642
"SHM","SHRIRO HOLDINGS LIMITED","2015-06-23","Consumer Durables",108399750
"SHN","SUNSHINE GOLD LIMITED","2002-01-25","Basic Industries",27572120
"SHO","SPORTSHERO LIMITED","2008-06-12","Consumer Services",12824153
"SHP","SOUTH HARZ POTASH LTD","2017-01-20","Basic Industries",40713431
"SHV","SELECT HARVESTS LIMITED","1978-06-15","Food, Beverage & Tobacco",697301346
"SI6","SI6 METALS LIMITED","2008-01-18","Basic Industries",16719123
"SIG","SIGMA HEALTHCARE LIMITED","2002-10-30","Health Care",651454996
"SIH","SIHAYO GOLD LIMITED","1988-03-31","Basic Industries",47910998
"SIL","SMILES INCLUSIVE LIMITED","2018-04-27","Health Care","N/A"
"SIO","SIMONDS GROUP LIMITED","2014-11-17","Consumer Durables",82708952
"SIQ","SMARTGROUP CORPORATION LTD","2014-07-02","Consumer Services",889389580
"SIS","SIMBLE SOLUTIONS LIMITED","2018-02-22","Technology",7968365
"SIT","SITE GROUP INTERNATIONAL LIMITED","1987-08-21","Consumer Services",12618677
"SIV","SIV CAPITAL LIMITED","2005-05-31","Capital Goods",13154752
"SIX","SPRINTEX LIMITED","2008-05-29","Automobiles & Components",16047850
"SKC","SKYCITY ENTERTAINMENT GROUP LIMITED","1999-03-29","Consumer Services",2569493606
"SKF","SKYFII LTD","1999-12-17","Technology",50322778
"SKI","SPARK INFRASTRUCTURE GROUP","2005-12-16","Utilities",3825800330
"SKN","SKIN ELEMENTS LIMITED","2017-01-06","Household & Personal Products","N/A"
"SKO","SERKO LIMITED","2018-06-25","Technology",701491440
"SKS","SKS TECHNOLOGIES GROUP LIMITED","1974-01-01","Capital Goods",24296310
"SKT","SKY NETWORK TELEVISION LIMITED.","2005-07-04","Consumer Services",279500729
"SKY","SKY METALS LIMITED","2004-03-11","Basic Industries",51833190
"SLA","SILK LASER AUSTRALIA LIMITED","2020-12-15","Health Care",188461784
"SLC","SUPERLOOP LIMITED","2015-06-04","Telecommunication Services",369525080
"SLK","SEALINK TRAVEL GROUP LIMITED","2013-10-16","Consumer Services",2129390718
"SLR","SILVER LAKE RESOURCES LIMITED","2007-11-14","Basic Industries",1771966383
"SLX","SILEX SYSTEMS LIMITED","1998-05-07","Semiconductors & Semiconductor Equipment",167584319
"SLZ","SULTAN RESOURCES LTD","2018-08-16","Basic Industries",19469629
"SM1","SYNLAIT MILK LIMITED","2016-11-25","Food, Beverage & Tobacco",614214467
"SMG","SOON MINING LIMITED","2016-03-21","Basic Industries","N/A"
"SMI","SANTANA MINERALS LIMITED","2013-05-31","Basic Industries",13113753
"SMN","STRUCTURAL MONITORING SYSTEMS PLC","2004-08-16","Technology",47790913
"SMP","SMARTPAY HOLDINGS LIMITED","2013-09-04","Technology",182206030
"SMR","STANMORE RESOURCES LIMITED","2009-12-09","Energy",178468185
"SMX","SECURITY MATTERS LIMITED","2018-10-15","Technology",53623225
"SNC","SANDON CAPITAL INVESTMENTS LIMITED","2013-12-23","Miscellaneous",101144656
"SND","SAUNDERS INTERNATIONAL LIMITED","2007-12-05","Capital Goods",79503933
"SNG","SIREN GOLD LIMITED","2020-10-07","Basic Industries",29451856
"SNL","SUPPLY NETWORK LIMITED","1987-09-10","Retailing",294002618
"SNS","SENSEN NETWORKS LIMITED","2007-05-31","Technology",88086899
"SNZ","SUMMERSET GROUP HOLDINGS LIMITED","2013-07-18","Health Care",2686291928
"SO4","SALT LAKE POTASH LIMITED","2006-11-03","Basic Industries",265150031
"SOL","WASHINGTON H SOUL PATTINSON & COMPANY LIMITED","1903-01-21","Energy",7076525659
"SOM","SOMNOMED LIMITED","2004-08-27","Health Care",191174018
"SOP","SYNERTEC CORPORATION LIMITED","2013-05-28","Consumer Services",22871076
"SOR","STRATEGIC ELEMENTS LIMITED","2011-08-11","Finance",100978772
"SOV","SOVEREIGN CLOUD HOLDINGS LIMITED","2020-12-14","Technology",78650081
"SP3","SPECTUR LIMITED","2017-08-01","Technology",7122454
"SPA","SPACETALK LTD","2001-07-17","Consumer Services",23980310
"SPK","SPARK NEW ZEALAND LIMITED","1991-08-22","Telecommunication Services",7972624147
"SPL","STARPHARMA HOLDINGS LIMITED","2000-09-28","Health Care",720788496
"SPN","SPARC TECHNOLOGIES LIMITED","1986-07-03","Basic Industries",19377462
"SPQ","SUPERIOR RESOURCES LIMITED","2007-11-12","Basic Industries",15194694
"SPT","SPLITIT PAYMENTS LTD","2019-01-29","Technology",286245244
"SPZ","SMART PARKING LIMITED","2007-01-09","Technology",62795199
"SRG","SRG GLOBAL LIMITED","2007-08-17","Capital Goods",229585154
"SRH","SAFEROADS HOLDINGS LIMITED","2005-12-15","Transportation",8990828
"SRI","SIPA RESOURCES LIMITED","1990-08-23","Basic Industries",9958331
"SRJ","SRJ TECHNOLOGIES GROUP PLC","2020-09-18","Energy",22017843
"SRK","STRIKE RESOURCES LIMITED","2000-03-07","Basic Industries",58076553
"SRL","SUNRISE ENERGY METALS LIMITED","2007-11-09","Consumer Services",207254400
"SRN","SUREFIRE RESOURCES NL","1999-06-11","Basic Industries",28526171
"SRV","SERVCORP LIMITED","1999-12-06","Real Estate",348544397
"SRY","STORY-I LIMITED","2015-01-20","Retailing","N/A"
"SRZ","STELLAR RESOURCES LIMITED","2005-04-28","Basic Industries",19891640
"SSG","SHAVER SHOP GROUP LIMITED","2016-07-01","Retailing",138473431
"SSL","SIETEL LIMITED","1974-01-01","Real Estate",66061702
"SSM","SERVICE STREAM LIMITED","2004-12-09","Capital Goods",400133418
"SSR","SSR MINING INC.","2020-09-17","Basic Industries",5306674798
"SST","STEAMSHIPS TRADING COMPANY LIMITED","1962-06-30","Capital Goods",272872486
"ST1","SPIRIT TECHNOLOGY SOLUTIONS LTD","1999-10-22","Telecommunication Services",189164693
"STA","STRANDLINE RESOURCES LIMITED","2000-05-17","Basic Industries",234398335
"STG","STRAKER TRANSLATIONS LIMITED","2018-10-22","Consumer Services",124426818
"STK","STRICKLAND METALS LIMITED","2006-04-06","Basic Industries",19851818
"STM","SUNSTONE METALS LTD","2007-03-22","Basic Industries",41989765
"STN","SATURN METALS LIMITED","2018-03-09","Basic Industries",52295997
"STO","SANTOS LIMITED","1954-10-01","Energy",14102357098
"STX","STRIKE ENERGY LIMITED","2004-08-05","Energy",624996103
"SUD","SUDA PHARMACEUTICALS LTD","2002-01-24","Health Care",15770896
"SUH","SOUTHERN HEMISPHERE MINING LIMITED","2010-01-05","Basic Industries",10510910
"SUL","SUPER RETAIL GROUP LIMITED","2004-07-06","Retailing",2906387055
"SUN","SUNCORP GROUP LIMITED","1988-07-07","Insurance",14266589426
"SUP","SUPERIOR LAKE RESOURCES LIMITED","2009-12-18","Basic Industries",23933867
"SUV","SUVO STRATEGIC MINERALS LIMITED","2011-05-17","Basic Industries",117101784
"SVH","SILVER HERITAGE GROUP LIMITED","2016-08-29","Consumer Services","N/A"
"SVL","SILVER MINES LIMITED","2007-01-19","Basic Industries",392988807
"SVM","SOVEREIGN METALS LIMITED","2007-01-22","Basic Industries",273396790
"SVS","SUNVEST CORPORATION LIMITED","1987-08-20","Miscellaneous",5471561
"SVW","SEVEN GROUP HOLDINGS LIMITED","2010-04-30","Capital Goods",7279742184
"SVY","STAVELY MINERALS LIMITED","2014-05-07","Basic Industries",138309570
"SW1","SWIFT MEDIA LIMITED","1994-06-30","Consumer Services",13881980
"SWF","SELFWEALTH LIMITED","2017-11-23","Finance",107812907
"SWK","SWICK MINING SERVICES LTD","2006-11-01","Basic Industries",50713312
"SWM","SEVEN WEST MEDIA LIMITED","1992-01-09","Consumer Services",615213747
"SWP","SWOOP HOLDINGS LIMITED","1988-10-06","Technology",186553730
"SXE","SOUTHERN CROSS ELECTRICAL ENGINEERING LTD","2007-11-28","Capital Goods",128986053
"SXL","SOUTHERN CROSS MEDIA GROUP LIMITED","2005-11-17","Consumer Services",484832740
"SXY","SENEX ENERGY LIMITED","1984-08-15","Energy",580543748
"SYA","SAYONA MINING LIMITED","2004-03-30","Basic Industries",188138576
"SYD","SYDNEY AIRPORT","2002-04-02","Transportation",15841370485
"SYR","SYRAH RESOURCES LIMITED","2007-09-11","Basic Industries",508175702
"SYT","SYNTONIC LIMITED","2007-06-12","Technology","N/A"
"SZL","SEZZLE INC.","2019-07-30","Technology",1476507613
"T3D","333D LIMITED","2006-12-27","Consumer Services",2754311
"TAH","TABCORP HOLDINGS LIMITED","1994-08-15","Consumer Services",11352465655
"TAM","TANAMI GOLD NL","1986-12-11","Basic Industries",86957181
"TAR","TARUGA MINERALS LIMITED","2012-02-07","Basic Industries",50547651
"TAS","TASMAN RESOURCES LTD","2001-12-18","Basic Industries",24161482
"TBA","TOMBOLA GOLD LTD","2012-05-03","Basic Industries",25497606
"TBR","TRIBUNE RESOURCES LIMITED","1989-05-04","Basic Industries",258667620
"TCF","360 CAPITAL ENHANCED INCOME FUND","2006-10-17","Miscellaneous",20384624
"TCL","TRANSURBAN GROUP","1996-03-14","Transportation",38004961012
"TCO","TRANSMETRO CORPORATION LIMITED","1987-09-17","Consumer Services",10706222
"TD1","TALI DIGITAL LIMITED","2004-09-23","Health Care",36263127
"TDL","TBG DIAGNOSTICS LIMITED","1995-12-22","Health Care","N/A"
"TDO","3D OIL LIMITED","2007-05-22","Energy",13259419
"TEG","TRIANGLE ENERGY (GLOBAL) LIMITED","2006-01-06","Energy",18002141
"TEK","THORNEY TECHNOLOGIES LTD","2005-05-10","Miscellaneous",139290345
"TEM","TEMPEST MINERALS LIMITED","2017-03-28","Basic Industries",5707617
"TER","TERRACOM LIMITED","2010-07-22","Energy",90432916
"TES","TEST SECURITY",,"Class Pend",0
"TFL","TASFOODS LIMITED","1999-12-16","Food, Beverage & Tobacco",45747346
"TG1","TECHGEN METALS LTD","2021-04-07","Basic Industries",12346066
"TGA","THORN GROUP LIMITED","2006-12-13","Retailing",72561260
"TGF","TRIBECA GLOBAL NATURAL RESOURCES LIMITED","2018-10-12","Miscellaneous",145755000
"TGG","TEMPLETON GLOBAL GROWTH FUND LIMITED","1987-05-28","Miscellaneous",299126562
"TGH","TERRAGEN HOLDINGS LIMITED","2019-12-11","Basic Industries",59865509
"TGM","THETA GOLD MINES LIMITED","2011-04-07","Basic Industries",103165362
"TGN","TUNGSTEN MINING NL","2012-12-17","Basic Industries",98301784
"TGP","360 CAPITAL GROUP","2005-07-26","Real Estate",211643747
"TGR","TASSAL GROUP LIMITED","2003-11-12","Food, Beverage & Tobacco",783542508
"THR","THOR MINING PLC","2006-09-27","Basic Industries",26011512
"TI1","TOMBADOR IRON LIMITED","2004-11-22","Real Estate",205068415
"TIA","TIAN AN AUSTRALIA LIMITED","1985-12-11","Real Estate",26848737
"TIE","TIETTO MINERALS LIMITED","2018-01-18","Basic Industries",168788619
"TIG","TIGERS REALM COAL LIMITED","2011-08-29","Basic Industries",91466917
"TIN","TNT MINES LIMITED","2017-11-03","Basic Industries",13981364
"TIP","TEAMINVEST PRIVATE GROUP LIMITED","2019-05-24","Finance",70095956
"TKL","TRAKA RESOURCES LIMITED","2003-11-20","Basic Industries",15700417
"TKM","TREK METALS LIMITED","2007-07-05","Basic Industries",18326258
"TLG","TALGA GROUP LTD","2010-07-09","Basic Industries",480619401
"TLM","TALISMAN MINING LIMITED","2005-11-25","Basic Industries",41058245
"TLS","TELSTRA CORPORATION LIMITED.","1997-11-17","Telecommunication Services",41864408450
"TLT","TILT RENEWABLES LIMITED.","2016-10-28","Utilities",2845095824
"TLX","TELIX PHARMACEUTICALS LIMITED","2017-11-15","Health Care",1266180336
"TMG","TRIGG MINING LTD.","2019-10-03","Basic Industries",8400500
"TMH","THE MARKET HERALD LIMITED","2016-09-15","Consumer Services",123807201
"TMK","TAMASKA OIL AND GAS LTD","2008-07-10","Energy",9400000
"TML","TIMAH RESOURCES LIMITED","2015-09-16","Utilities",5501657
"TMR","TEMPUS RESOURCES LTD","2018-08-15","Basic Industries",18267753
"TMS","TENNANT MINERALS NL","2004-08-17","Basic Industries",17218922
"TMT","TECHNOLOGY METALS AUSTRALIA LIMITED","2016-12-21","Basic Industries",51060539
"TMX","TERRAIN MINERALS LIMITED","2006-03-23","Basic Industries",8093371
"TMZ","THOMSON RESOURCES LIMITED","2010-12-17","Basic Industries",67160739
"TNE","TECHNOLOGY ONE LIMITED","1999-12-08","Technology",2957071296
"TNG","TNG LIMITED","1971-02-18","Basic Industries",68722337
"TNK","THINK CHILDCARE GROUP","2014-10-24","Consumer Services",190213086
"TNP","TRIPLE ENERGY LIMITED","2005-12-14","Energy","N/A"
"TNR","TORIAN RESOURCES LIMITED","1986-06-30","Basic Industries",26081615
"TNT","TESSERENT LIMITED","2016-02-15","Technology",216607524
"TNY","TINYBEANS GROUP LTD","2017-04-21","Consumer Services",57399757
"TOE","TORO ENERGY LIMITED","2006-03-24","Energy",79332832
"TOM","TOMIZONE LIMITED","1974-01-01","Telecommunication Services","N/A"
"TON","TRITON MINERALS LTD","2009-08-14","Basic Industries",40840850
"TOP","THORNEY OPPORTUNITIES LTD","2000-03-22","Miscellaneous",107103933
"TOR","TORQUE METALS LIMITED..",,"Basic Industries",0
"TOT","360 CAPITAL REIT","2015-04-22","Finance",135330274
"TOU","TLOU ENERGY LIMITED","2013-04-09","Energy",30610151
"TPC","TPC CONSOLIDATED LIMITED","2007-07-16","Utilities",45502452
"TPD","TALON PETROLEUM LIMITED","2013-02-28","Energy",42021277
"TPG","TPG TELECOM LIMITED.","2020-06-30","Telecommunication Services",9687170095
"TPO","TIAN POH RESOURCES LIMITED","2014-11-11","Basic Industries",17393077
"TPP","TEMPO AUSTRALIA LTD","1980-12-04","Consumer Services",29010840
"TPS","THREAT PROTECT AUSTRALIA LIMITED","1994-03-03","Consumer Services",6505820
"TPW","TEMPLE & WEBSTER GROUP LTD","2015-12-10","Retailing",1178029636
"TRA","TURNERS AUTOMOTIVE GROUP LIMITED","2017-07-28","Retailing",243830924
"TRJ","TRAJAN GROUP HOLDINGS LIMITED",,"Class Pend",0
"TRL","TANGA RESOURCES LIMITED","2011-03-09","Basic Industries",14062579
"TRM","TRUSCOTT MINING CORPORATION LIMITED","2007-04-18","Basic Industries",3971305
"TRN","TORRENS MINING LIMITED","2021-01-07","Basic Industries",15883233
"TRS","THE REJECT SHOP LIMITED","2004-06-01","Retailing",243439316
"TRT","TODD RIVER RESOURCES LIMITED","2017-04-06","Basic Industries",42624330
"TRU","TRUSCREEN GROUP LIMITED","2021-01-06","Health Care",27214969
"TRY","TROY RESOURCES LIMITED","1987-03-05","Basic Industries",34090370
"TSC","TWENTY SEVEN CO. LIMITED","2006-10-18","Energy",11973103
"TSI","TOP SHELF INTERNATIONAL HOLDINGS LTD","2020-12-10","Food, Beverage & Tobacco",99177607
"TSL","TITANIUM SANDS LIMITED","1988-12-22","Basic Industries","N/A"
"TSO","TESORO RESOURCES LIMITED","2004-01-28","Basic Industries",91574609
"TTA","TTA HOLDINGS LIMITED","2006-02-16","Retailing",2473621
"TTB","TOTAL BRAIN LIMITED","2001-08-28","Health Care",29783541
"TTI","TRAFFIC TECHNOLOGIES LTD.","1998-02-17","Transportation",24111235
"TTL","TRANSCENDENCE TECHNOLOGIES LIMITED","2003-03-21","Technology","N/A"
"TTM","TITAN MINERALS LIMITED","2006-11-15","Basic Industries",125339768
"TTT","TITOMIC LIMITED","2017-09-21","Basic Industries",88884808
"TUA","TUAS LIMITED","2020-06-30","Telecommunication Services",296901773
"TUL","TULLA RESOURCES PLC","2021-03-18","Basic Industries",160157592
"TV2","TV2U INTERNATIONAL LIMITED","2007-06-07","Technology","N/A"
"TWD","TAMAWOOD LIMITED","2000-08-14","Consumer Durables",100893737
"TWE","TREASURY WINE ESTATES LIMITED","2011-05-10","Food, Beverage & Tobacco",8402312769
"TWR","TOWER LIMITED","1999-09-28","Insurance",286720135
"TYM","TYMLEZ GROUP LIMITED","2018-12-13","Technology",4088516
"TYR","TYRO PAYMENTS LIMITED","2019-12-06","Technology",1948819666
"TYX","TYRANNA RESOURCES LIMITED","2007-07-11","Basic Industries",8976525
"TZL","TZ LIMITED","1987-01-22","Technology",15885776
"TZN","TERRAMIN AUSTRALIA LIMITED.","2003-12-23","Basic Industries",71963132
"UBI","UNIVERSAL BIOSENSORS INC.","2006-12-13","Health Care",115454205
"UBN",,"2014-09-22","Technology",
"UCM","USCOM LIMITED","2003-12-10","Health Care",27017313
"UCW","UCW LIMITED","2004-06-25","Consumer Services",19389884
"UMG","UNITED MALT GROUP LIMITED","2020-03-24","Food, Beverage & Tobacco",1316388194
"UNI","UNIVERSAL STORE HOLDINGS LIMITED","2020-11-16","Retailing",578247104
"UOS","UNITED OVERSEAS AUSTRALIA LIMITED","1988-02-17","Real Estate",1165762520
"URF","US MASTERS RESIDENTIAL PROPERTY FUND","2012-07-23","Real Estate",103462094
"URW","UNIBAIL-RODAMCO-WESTFIELD","2018-05-31","Real Estate",15733188200
"UUL","ULTIMA UNITED LIMITED","2007-06-01","Real Estate",27676175
"UUV","UUV AQUABOTIX LTD","2017-04-28","Capital Goods",3582562
"UWL","UNITI GROUP LIMITED","2019-02-13","Telecommunication Services",2022847852
"VAL","VALOR RESOURCES LIMITED","1997-08-29","Basic Industries",40513640
"VAN","VANGO MINING LIMITED","2005-03-08","Basic Industries",71298238
"VAR","VARISCAN MINES LIMITED","1987-08-20","Basic Industries",12991903
"VBC","VERBREC LIMITED","2007-12-11","Capital Goods",35754830
"VBS","VECTUS BIOSYSTEMS LIMITED","2016-02-23","Health Care",28806409
"VCX","VICINITY CENTRES","2011-12-05","Real Estate",7101549558
"VEA","VIVA ENERGY GROUP LIMITED","2018-07-13","Energy",3263506453
"VEE","VEEM LTD","2016-10-26","Capital Goods",174200000
"VEN","VINTAGE ENERGY LTD","2018-09-17","Energy",36923657
"VG1","VGI PARTNERS GLOBAL INVESTMENTS LIMITED","2017-09-28","Miscellaneous",922914275
"VG8","VGI PARTNERS ASIAN INVESTMENTS LIMITED","2019-11-13","Miscellaneous",532062321
"VGI","VGI PARTNERS LIMITED","2019-06-21","Finance",431241389
"VGL","VISTA GROUP INTERNATIONAL LIMITED.","2014-08-11","Technology",464494068
"VHT","VOLPARA HEALTH TECHNOLOGIES LIMITED","2016-04-27","Health Care",326324805
"VIA","VIAGOLD RARE EARTH RESOURCES HOLDINGS LIMITED","1996-02-07","Basic Industries",6831617
"VIC","VICTORY MINES LIMITED","2012-10-09","Basic Industries",11136506
"VIG","VICTOR GROUP HOLDINGS LIMITED","2014-05-09","Technology",17166800
"VII","VIETNAM INDUSTRIAL INVESTMENTS LIMITED","1995-09-18","Basic Industries","N/A"
"VIP","VIP GLOVES LTD","1997-02-05","Health Care",34578783
"VKA","VIKING MINES LIMITED","2010-05-12","Basic Industries",32680270
"VLS","VITA LIFE SCIENCES LIMITED..","2007-08-23","Health Care",65169547
"VMC","VENUS METALS CORPORATION LIMITED","2007-06-12","Basic Industries",30215737
"VMG","VDM GROUP LIMITED","2006-02-15","Capital Goods",17319152
"VML","VITAL METALS LIMITED","2005-10-11","Basic Industries",245099752
"VMS","VENTURE MINERALS LIMITED","2006-09-22","Basic Industries",145659721
"VMT","VMOTO LIMITED","2002-01-31","Automobiles & Components",118366786
"VMX","VALMEC LIMITED","2005-01-13","Energy",42800293
"VMY","VIMY RESOURCES LIMITED","2008-05-23","Energy",133596719
"VN8","VONEX LIMITED..","2018-06-13","Telecommunication Services",23176017
"VOC","VOCUS GROUP LIMITED","1999-06-10","Telecommunication Services",3391831994
"VOL","VICTORY OFFICES LIMITED","2019-06-14","Real Estate",18405000
"VOR","VORTIV LIMITED","2001-08-08","Technology",6323596
"VPR","VOLT POWER GROUP LIMITED","1991-04-18","Utilities",28033601
"VR1","VECTION TECHNOLOGIES LTD","2017-03-17","Technology",71751770
"VR8","VANADIUM RESOURCES LIMITED","2017-11-03","Basic Industries",20922205
"VRC","VOLT RESOURCES LIMITED","2003-12-19","Basic Industries",78550827
"VRS","VERIS LIMITED","2008-06-25","Consumer Services",37838214
"VRT","VIRTUS HEALTH LIMITED","2013-06-11","Health Care",505652710
"VRX","VRX SILICA LIMITED","2011-02-24","Basic Industries",134617132
"VTG","VITA GROUP LIMITED","2005-11-02","Retailing",156496208
"VTH","VITALHARVEST FREEHOLD TRUST","2018-08-01","Real Estate",241425000
"VTI","VISIONEERING TECHNOLOGIES, INC.","2017-03-28","Health Care",28362154
"VUK","VIRGIN MONEY UK PLC","2016-02-03","Finance",5456922265
"VUL","VULCAN ENERGY RESOURCES LIMITED","2018-05-30","Basic Industries",823013316
"VVA","VIVA LEISURE LIMITED","2019-06-07","Consumer Services",177845000
"VXR","VENTUREX RESOURCES LIMITED","2007-04-27","Basic Industries",333714368
"VYS","VYSARN LIMITED","2007-12-14","Basic Industries",35599939
"WAA","WAM ACTIVE LIMITED","2008-01-11","Miscellaneous",78639627
"WAF","WEST AFRICAN RESOURCES LIMITED","2010-06-11","Basic Industries",975900079
"WAK","WA KAOLIN LIMITED","2020-11-26","Basic Industries",59392596
"WAM","WAM CAPITAL LIMITED","1999-08-12","Miscellaneous",1940661765
"WAT","WATERCO LIMITED","1989-03-23","Consumer Durables",103683303
"WAX","WAM RESEARCH LIMITED","2003-08-19","Miscellaneous",318204313
"WBC","WESTPAC BANKING CORPORATION","1970-07-18","Finance",96924195567
"WBE","WHITEBARK ENERGY LTD","2004-03-10","Energy","N/A"
"WBT","WEEBIT NANO LTD","2010-12-21","Technology",233147747
"WC8","WILDCAT RESOURCES LIMITED","2004-08-04","Basic Industries",15562000
"WCG","WEBCENTRAL GROUP LIMITED.","1999-12-14","Technology",65253585
"WCN","WHITE CLIFF MINERALS LIMITED","2007-12-14","Basic Industries",8275142
"WEB","WEBJET LIMITED","1997-11-19","Retailing",1916145194
"WEC","WHITE ENERGY COMPANY LIMITED","1999-07-23","Energy",92937446
"WEL","WINCHESTER ENERGY LTD","2014-09-23","Energy",15894032
"WES","WESFARMERS LIMITED","1984-11-15","Retailing",62803411004
"WFL","WELLFULLY LIMITED","2000-05-29","Health Care",10910664
"WGB","WAM GLOBAL LIMITED","2018-06-22","Miscellaneous",598876716
"WGN","WAGNERS HOLDING COMPANY LIMITED","2017-12-08","Basic Industries",443656622
"WGO","WARREGO ENERGY LIMITED","2007-12-12","Energy",249149900
"WGX","WESTGOLD RESOURCES LIMITED.","2016-12-06","Basic Industries",966390016
"WHA","WATTLE HEALTH AUSTRALIA LIMITED","2017-03-15","Food, Beverage & Tobacco","N/A"
"WHC","WHITEHAVEN COAL LIMITED","2007-06-01","Energy",1626414665
"WHF","WHITEFIELD LIMITED","1971-08-02","Miscellaneous",556605365
