"Symbol","Company name","Listing date","Sector","Market Cap"
"MCA","MURRAY COD AUSTRALIA LIMITED","2011-03-30","Food, Beverage & Tobacco",227119641
"MCE","MATRIX COMPOSITES & ENGINEERING LIMITED","2009-11-16","Energy",14836607
"MCL","MIGHTY CRAFT LIMITED","2019-12-17","Food, Beverage & Tobacco",45671650
"MCM","MC MINING LIMITED","1980-04-24","Energy",16214053
"MCP","MCPHERSON'S LIMITED","1962-06-30","Household & Personal Products",183616948
"MCR","MINCOR RESOURCES NL","1997-06-16","Basic Industries",428043422
"MCT","METALICITY LIMITED","2005-12-21","Basic Industries",25057397
"MCX","MARINER CORPORATION LIMITED","1986-06-20","Finance",3075406
"MCY","MERCURY NZ LIMITED","2013-05-10","Utilities",8350904719
"MDC","MEDLAB CLINICAL LIMITED","2015-07-14","Health Care",61591621
"MDI","MIDDLE ISLAND RESOURCES LIMITED","2010-12-16","Basic Industries",13466004
"MDR","MEDADVISOR LIMITED","2011-05-26","Health Care",124520998
"MDX","MINDAX LIMITED","2004-12-08","Basic Industries",129955304
"MEA","MCGRATH LIMITED","2015-12-07","Real Estate",105949709
"MEB","MEDIBIO LIMITED","2001-01-29","Health Care",13462961
"MEC","MORPHIC ETHICAL EQUITIES FUND LIMITED","2017-05-03","Finance",63808930
"MEG","MEGADO GOLD LIMITED","2020-10-27","Basic Industries",9652500
"MEI","METEORIC RESOURCES NL","2004-07-16","Basic Industries",74943118
"MEL","METGASCO LTD","2004-12-23","Energy",15390184
"MEM","MEMPHASYS LIMITED.","2007-05-14","Health Care",48625528
"MEP","MINOTAUR EXPLORATION LTD","2005-02-24","Basic Industries",57654002
"MEU","MARMOTA LIMITED","2007-11-21","Energy",43584016
"MEY","MARENICA ENERGY LTD","1985-10-23","Energy",68597582
"MEZ","MERIDIAN ENERGY LIMITED","2013-10-29","Utilities",12810570790
"MFB","MY FOOD BAG GROUP LIMITED","2021-03-05","Retailing",327290657
"MFD","MAYFIELD CHILDCARE LIMITED","2016-11-30","Consumer Services",35471261
"MFF","MFF CAPITAL INVESTMENTS LIMITED","2006-12-19","Miscellaneous",1561669354
"MFG","MAGELLAN FINANCIAL GROUP LIMITED","2004-07-01","Finance",8800044894
"MGF","MAGELLAN GLOBAL FUND.","2020-11-30","Class Pend",2798626166
"MGH","MAAS GROUP HOLDINGS LIMITED","2020-12-04","Capital Goods",1240173000
"MGL","MAGONTEC LIMITED","1983-07-07","Basic Industries",26471271
"MGR","MIRVAC GROUP","1999-06-16","Real Estate",10985782663
"MGT","MAGNETITE MINES LIMITED.","2006-04-06","Basic Industries",194576269
"MGTNE","MAGNETITE MINES LIMITED.","2006-04-06","Basic Industries",194576269
"MGU","MAGNUM MINING AND EXPLORATION LIMITED","1987-04-23","Basic Industries",78227405
"MGV","MUSGRAVE MINERALS LIMITED","2011-04-29","Basic Industries",245282557
"MGX","MOUNT GIBSON IRON LIMITED","1976-02-12","Basic Industries",1019888773
"MHC","MANHATTAN CORPORATION LIMITED","2008-01-29","Energy",21367902
"MHH","MAGELLAN HIGH CONVICTION TRUST","2019-10-11","Miscellaneous",862294052
"MHI","MERCHANT HOUSE INTERNATIONAL LIMITED","1994-10-31","Consumer Durables",6598655
"MHJ","MICHAEL HILL INTERNATIONAL LIMITED","2016-07-07","Retailing",314352525
"MHK","METAL HAWK LIMITED.","2020-11-19","Basic Industries",12048113
"MIH","MNC MEDIA INVESTMENT LTD","2013-09-13","Consumer Services","N/A"
"MIL","MILLENNIUM SERVICES GROUP LIMITED","2015-11-19","Consumer Services",27392673
"MIN","MINERAL RESOURCES LIMITED","2006-07-28","Basic Industries",8564838863
"MIO","MACARTHUR MINERALS LIMITED","2019-12-06","Basic Industries",68778426
"MIR","MIRRABOOKA INVESTMENTS LIMITED","2001-06-28","Miscellaneous",592154442
"MIRNA","MIRRABOOKA INVESTMENTS LIMITED","2001-06-28","Miscellaneous",592154442
"MKG","MAKO GOLD LIMITED","2018-04-16","Basic Industries",23408986
"MKL","MIGHTY KINGDOM LIMITED","2021-04-21","Consumer Services",34128561
"MKR","MANUKA RESOURCES LTD.","2020-07-14","Basic Industries",105047948
"MLD","MACA LIMITED","2010-11-03","Basic Industries",273368677
"MLG","MLG OZ LIMITED","2021-05-04","Basic Industries",187913220
"MLM","METALLICA MINERALS LIMITED","2004-11-23","Basic Industries",20078380
"MLS","METALS AUSTRALIA LTD","1986-01-23","Basic Industries",8454376
"MLT","MILTON CORPORATION LIMITED","1962-04-17","Miscellaneous",3330697998
"MLX","METALS X LIMITED","2004-08-26","Basic Industries",249498168
"MM8","MEDALLION METALS LIMITED.","2021-03-22","Basic Industries",44980265
"MME","MONEYME LIMITED","2019-12-12","Finance",252016801
"MMG","MONGER GOLD LTD",,"Basic Industries",0
"MMI","METRO MINING LIMITED","2009-12-04","Basic Industries","N/A"
"MMJ","MMJ GROUP HOLDINGS LIMITED","2015-01-22","Miscellaneous",20235951
"MML","MEDUSA MINING LIMITED","2003-12-23","Basic Industries",178771039
"MMM","MARLEY SPOON AG","2018-07-02","Consumer Services",627261250
"MMR","MEC RESOURCES LIMITED","2006-05-29","Energy","N/A"
"MMS","MCMILLAN SHAKESPEARE LIMITED","2004-03-15","Consumer Services",896073219
"MNB","MINBOS RESOURCES LIMITED","2010-10-18","Basic Industries",28306007
"MND","MONADELPHOUS GROUP LIMITED","1991-03-28","Capital Goods",936240182
"MNF","MNF GROUP LIMITED","2006-05-18","Telecommunication Services",430984308
"MNS","MAGNIS ENERGY TECHNOLOGIES LTD","2005-10-25","Basic Industries",238401673
"MNY","MONEY3 CORPORATION LIMITED","2006-10-19","Finance",671935416
"MOB","MOBILICOM LIMITED","2017-05-02","Technology",20925887
"MOC","MORTGAGE CHOICE LIMITED","2004-08-10","Finance",243120021
"MOE","MOELIS AUSTRALIA LIMITED","2017-04-10","Finance",872937035
"MOH","MOHO RESOURCES LIMITED","2018-11-07","Basic Industries",8365308
"MOQ","MOQ LIMITED","2000-12-19","Technology",33718092
"MOT","MCP INCOME OPPORTUNITIES TRUST","2019-04-29","Miscellaneous",352169717
"MOZ","MOSAIC BRANDS LIMITED","2000-05-11","Retailing",68147366
"MP1","MEGAPORT LIMITED","2015-12-17","Technology",2347410571
"MPA","MAD PAWS HOLDINGS LIMITED","2021-03-26","Retailing",36469078
"MPH","MEDILAND PHARM LIMITED","2019-02-22","Retailing",19391344
"MPL","MEDIBANK PRIVATE LIMITED","2014-11-25","Insurance",8620030141
"MPP","METRO PERFORMANCE GLASS LIMITED","2014-07-30","Capital Goods",68589892
"MPR","MPOWER GROUP LIMITED","1974-01-01","Finance",19372625
